season,round,Date,HT,AT,HomeS,AwayS,result,AvgHGF,AvgHGA,AvgAGF,AvgAGA,HGF,HGA,AGF,AGA,HTHG,HTAG,HTR,HPL,HRD,HRW,APL,ARD,ARW,HSHOT,ASHOT,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
1011,1,2014-08-10,Aston Villa,West Ham,3,0,H,,,,,,,,,2,0,H,,,,,,,,,M Dean,23,12,11,2,15,15,16,7,1,2,0,0,2.0,3.3,4
1011,1,2014-08-10,Blackburn,Everton,1,0,H,,,,,,,,,1,0,H,,,,,,,,,P Dowd,7,17,2,12,19,14,1,3,2,1,0,0,2.88,3.25,2.5
1011,1,2014-08-10,Bolton,Fulham,0,0,D,,,,,,,,,0,0,D,,,,,,,,,S Attwell,13,12,9,7,12,13,4,8,1,3,0,0,2.2,3.3,3.4
1011,1,2014-08-10,Chelsea,West Brom,6,0,H,,,,,,,,,2,0,H,,,,,,,,,M Clattenburg,18,10,13,4,10,10,3,1,1,0,0,0,1.17,7.0,17
1011,1,2014-08-10,Sunderland,Birmingham,2,2,D,,,,,,,,,1,0,H,,,,,,,,,A Taylor,6,13,2,7,13,10,3,6,3,3,1,0,2.1,3.3,3.6
1011,1,2014-08-10,Tottenham,Man City,0,0,D,,,,,,,,,0,0,D,,,,,,,,,A Marriner,22,11,18,7,13,16,10,3,0,2,0,0,2.4,3.3,3
1011,1,2014-08-10,Wigan,Blackpool,0,4,A,,,,,,,,,0,3,A,,,,,,,,,M Halsey,11,9,6,7,8,11,6,4,1,1,0,0,1.83,3.5,4.5
1011,1,2014-08-10,Wolves,Stoke,2,1,H,,,,,,,,,2,0,H,,,,,,,,,L Probert,13,10,7,6,17,13,5,5,0,2,0,0,2.3,3.25,3.2
1011,1,2015-08-10,Liverpool,Arsenal,1,1,D,,,,,,,,,0,0,D,,,,,,,,,M Atkinson,7,14,4,7,13,15,9,11,1,3,1,1,2.5,3.25,2.88
1011,1,2016-08-10,Man United,Newcastle,3,0,H,,,,,,,,,2,0,H,,,,,,,,,C Foy,18,7,10,3,9,5,5,3,2,2,0,0,1.25,5.5,15
1011,2,2021-08-10,Arsenal,Blackpool,6,0,H,,,,,,,,,3,0,H,,,,,,,,,M Jones,26,3,16,1,9,3,8,2,0,0,0,1,1.17,7.0,19
1011,2,2021-08-10,Birmingham,Blackburn,2,1,H,,,,,,,,,0,0,D,,,,,,,,,M Oliver,10,7,7,2,13,14,4,12,2,3,0,0,2.2,3.25,3.4
1011,2,2021-08-10,Everton,Wolves,1,1,D,,,,,,,,,1,0,H,,,,,,,,,L Mason,14,9,6,4,18,15,3,3,1,2,0,0,1.5,4.0,7
1011,2,2021-08-10,Stoke,Tottenham,1,2,A,,,,,,,,,1,2,A,,,,,,,,,C Foy,15,7,10,6,15,4,6,2,3,1,0,0,3.4,3.3,2.2
1011,2,2021-08-10,West Brom,Sunderland,1,0,H,,,,,,,,,0,0,D,,,,,,,,,K Friend,11,10,5,4,16,12,4,6,2,2,0,0,2.5,3.25,2.88
1011,2,2021-08-10,West Ham,Bolton,1,3,A,,,,,,,,,0,0,D,,,,,,,,,A Marriner,17,12,10,8,11,18,8,5,2,4,0,0,2.25,3.3,3.25
1011,2,2021-08-10,Wigan,Chelsea,0,6,A,,,,,,,,,0,1,A,,,,,,,,,M Dean,17,10,12,8,12,7,0,0,1,2,0,0,15.0,6.0,1.22
1011,2,2022-08-10,Fulham,Man United,2,2,D,,,,,,,,,0,1,A,,,,,,,,,P Walton,16,14,8,7,7,6,5,11,2,2,0,0,6.0,4.0,1.57
1011,2,2022-08-10,Newcastle,Aston Villa,6,0,H,,,,,,,,,3,0,H,,,,,,,,,M Atkinson,20,3,14,1,15,12,10,2,3,1,0,0,3.2,3.25,2.3
1011,2,2023-08-10,Man City,Liverpool,3,0,H,,,,,,,,,1,0,H,,,,,,,,,P Dowd,8,13,3,7,13,12,5,4,1,1,0,0,2.38,3.25,3.1
1011,3,2028-08-10,Blackburn,Arsenal,1,2,A,,,,,,,,,1,1,D,,,,,,,,,C Foy,15,14,7,9,9,7,4,8,1,0,0,0,6.0,4.0,1.57
1011,3,2028-08-10,Blackpool,Fulham,2,2,D,,,,,,,,,0,1,A,,,,,,,,,M Oliver,14,12,5,7,13,16,4,5,1,0,0,0,3.2,3.25,2.3
1011,3,2028-08-10,Chelsea,Stoke,2,0,H,,,,,,,,,1,0,H,,,,,,,,,M Atkinson,15,9,6,3,5,10,6,1,0,2,0,0,1.11,9.0,23
1011,3,2028-08-10,Man United,West Ham,3,0,H,,,,,,,,,1,0,H,,,,,,,,,M Clattenburg,18,7,11,2,6,11,9,3,1,2,0,0,1.14,8.0,19
1011,3,2028-08-10,Tottenham,Wigan,0,1,A,,,,,,,,,0,0,D,,,,,,,,,P Dowd,12,13,7,5,10,11,16,7,3,2,0,0,1.25,5.75,13
1011,3,2028-08-10,Wolves,Newcastle,1,1,D,,,,,,,,,1,0,H,,,,,,,,,S Attwell,5,11,2,6,20,17,5,3,7,4,0,0,2.4,3.2,3.1
1011,3,2029-08-10,Aston Villa,Everton,1,0,H,,,,,,,,,1,0,H,,,,,,,,,M Jones,12,15,6,9,19,10,4,16,4,0,0,0,2.5,3.25,2.88
1011,3,2029-08-10,Bolton,Birmingham,2,2,D,,,,,,,,,0,1,A,,,,,,,,,K Friend,11,9,8,5,19,17,6,1,2,3,1,0,2.1,3.3,3.6
1011,3,2029-08-10,Liverpool,West Brom,1,0,H,,,,,,,,,0,0,D,,,,,,,,,L Probert,11,14,7,5,9,8,7,6,0,0,0,1,1.22,6.0,15
1011,3,2029-08-10,Sunderland,Man City,1,0,H,,,,,,,,,0,0,D,,,,,,,,,M Dean,12,9,4,7,5,9,3,7,0,3,0,0,4.5,3.5,1.83
1011,4,2011-09-10,Arsenal,Bolton,4,1,H,,,,,,,,,1,1,D,,,,,,,,,S Attwell,23,7,14,6,11,11,9,6,2,2,0,1,1.25,5.5,13
1011,4,2011-09-10,Everton,Man United,3,3,D,,,,,,,,,1,1,D,,,,,,,,,M Atkinson,23,13,14,8,11,18,7,5,1,1,0,0,4.2,3.4,1.91
1011,4,2011-09-10,Fulham,Wolves,2,1,H,,,,,,,,,0,1,A,,,,,,,,,P Dowd,13,4,6,2,9,17,6,6,3,6,0,1,1.83,3.5,4.5
1011,4,2011-09-10,Man City,Blackburn,1,1,D,,,,,,,,,0,1,A,,,,,,,,,M Clattenburg,20,4,14,2,12,10,14,2,2,1,0,0,1.33,5.0,10
1011,4,2011-09-10,Newcastle,Blackpool,0,2,A,,,,,,,,,0,1,A,,,,,,,,,L Mason,16,7,13,4,15,14,3,2,2,3,0,0,1.57,4.0,6
1011,4,2011-09-10,West Brom,Tottenham,1,1,D,,,,,,,,,1,1,D,,,,,,,,,H Webb,15,16,8,9,12,9,9,4,2,1,0,0,3.75,3.25,2.1
1011,4,2011-09-10,West Ham,Chelsea,1,3,A,,,,,,,,,0,2,A,,,,,,,,,C Foy,13,17,7,9,13,10,1,5,2,2,0,0,10.0,5.0,1.33
1011,4,2011-09-10,Wigan,Sunderland,1,1,D,,,,,,,,,0,0,D,,,,,,,,,A Marriner,17,4,4,2,19,11,5,1,4,2,0,1,2.5,3.25,2.88
1011,4,2012-09-10,Birmingham,Liverpool,0,0,D,,,,,,,,,0,0,D,,,,,,,,,M Halsey,15,14,3,8,8,9,4,3,1,0,0,0,3.1,3.2,2.4
1011,4,2013-09-10,Stoke,Aston Villa,2,1,H,,,,,,,,,0,1,A,,,,,,,,,L Probert,20,10,12,6,11,14,8,7,1,2,0,0,2.5,3.25,2.88
1011,5,2018-09-10,Aston Villa,Bolton,1,1,D,,,,,,,,,1,1,D,,,,,,,,,M Dean,13,13,6,7,15,8,8,4,1,2,0,0,1.8,3.6,4.5
1011,5,2018-09-10,Blackburn,Fulham,1,1,D,,,,,,,,,1,0,H,,,,,,,,,A Taylor,9,9,5,4,15,10,3,3,0,1,0,0,2.0,3.3,4
1011,5,2018-09-10,Everton,Newcastle,0,1,A,,,,,,,,,0,1,A,,,,,,,,,A Marriner,6,9,3,4,15,21,3,6,2,3,0,0,1.62,3.75,6
1011,5,2018-09-10,Stoke,West Ham,1,1,D,,,,,,,,,0,1,A,,,,,,,,,L Mason,9,13,3,6,14,8,6,3,3,2,0,0,1.91,3.4,4.2
1011,5,2018-09-10,Sunderland,Arsenal,1,1,D,,,,,,,,,0,1,A,,,,,,,,,P Dowd,16,16,5,7,11,13,11,3,2,2,0,1,5.5,3.7,1.67
1011,5,2018-09-10,Tottenham,Wolves,3,1,H,,,,,,,,,0,1,A,,,,,,,,,M Jones,20,5,11,2,7,11,5,4,3,3,0,0,1.4,4.5,8.5
1011,5,2018-09-10,West Brom,Birmingham,3,1,H,,,,,,,,,0,1,A,,,,,,,,,C Foy,16,6,10,3,11,8,5,0,1,1,0,0,2.25,3.3,3.25
1011,5,2019-09-10,Chelsea,Blackpool,4,0,H,,,,,,,,,4,0,H,,,,,,,,,M Clattenburg,27,11,15,4,7,4,9,6,1,2,0,0,1.1,9.0,26
1011,5,2019-09-10,Man United,Liverpool,3,2,H,,,,,,,,,1,0,H,,,,,,,,,H Webb,16,7,7,1,15,10,6,1,4,1,0,0,1.7,3.5,5.5
