season,round,Date,HT,AT,HomeS,AwayS,result,AvgHGF,AvgHGA,AvgAGF,AvgAGA,HGF,HGA,AGF,AGA,HTHG,HTAG,HTR,HPL,HRD,HRW,APL,ARD,ARW,HSHOT,ASHOT,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
1011,4,2011-09-10,Arsenal,Bolton,4,1,H,3.00,0.67,1.67,1.00,3.00,0.67,1.67,1.00,1,1,D,0.33,0.00,0.00,0.00,0.00,0.33,0.59,0.70,S Attwell,23,7,14,6,11,11,9,6,2,2,0,1,1.25,5.5,13
1011,4,2011-09-10,Everton,Man United,3,3,D,0.33,1.00,2.67,0.67,0.33,1.00,2.67,0.67,1,1,D,0.00,0.33,0.67,0.67,0.33,0.00,0.58,0.56,M Atkinson,23,13,14,8,11,18,7,5,1,1,0,0,4.2,3.4,1.91
1011,4,2011-09-10,Fulham,Wolves,2,1,H,1.33,1.33,1.33,1.00,1.33,1.33,1.33,1.00,0,1,A,0.00,0.33,0.33,0.33,0.33,0.33,0.56,0.46,P Dowd,13,4,6,2,9,17,6,6,3,6,0,1,1.83,3.5,4.5
1011,4,2011-09-10,Man City,Blackburn,1,1,D,1.00,0.33,1.00,1.33,1.00,0.33,1.00,1.33,0,1,A,0.33,0.00,0.00,0.33,0.00,0.00,0.60,0.35,M Clattenburg,20,4,14,2,12,10,14,2,2,1,0,0,1.33,5,10
1011,4,2011-09-10,Newcastle,Blackpool,0,2,A,2.33,1.33,2.00,2.67,2.33,1.33,2.00,2.67,0,1,A,0.33,0.00,0.67,0.33,0.00,0.67,0.56,0.49,L Mason,16,7,13,4,15,14,3,2,2,3,0,0,1.57,4,6
1011,4,2011-09-10,West Brom,Tottenham,1,1,D,0.33,2.33,0.67,0.67,0.33,2.33,0.67,0.67,1,1,D,0.00,0.00,0.33,0.33,0.00,0.00,0.40,0.75,H Webb,15,16,8,9,12,9,9,4,2,1,0,0,3.75,3.25,2.1
1011,4,2011-09-10,West Ham,Chelsea,1,3,A,0.33,3.00,4.67,0.00,0.33,3.00,4.67,0.00,0,2,A,0.00,0.00,0.67,1.00,0.00,0.00,0.35,0.64,C Foy,13,17,7,9,13,10,1,5,2,2,0,0,10,5,1.33
1011,4,2011-09-10,Wigan,Sunderland,1,1,D,0.33,3.33,1.00,1.00,0.33,3.33,1.00,1.00,0,0,D,0.00,0.00,0.67,0.00,0.33,0.00,0.55,0.36,A Marriner,17,4,4,2,19,11,5,1,4,2,0,1,2.5,3.25,2.88
1011,4,2012-09-10,Birmingham,Liverpool,0,0,D,2.00,1.67,0.67,1.33,2.00,1.67,0.67,1.33,0,0,D,0.00,0.33,0.33,0.00,0.00,0.33,0.60,0.58,M Halsey,15,14,3,8,8,9,4,3,1,0,0,0,3.1,3.2,2.4
1011,4,2013-09-10,Stoke,Aston Villa,2,1,H,0.67,2.00,1.33,2.00,0.67,2.00,1.33,2.00,0,1,A,0.00,0.00,1.00,0.67,0.00,0.33,0.53,0.44,L Probert,20,10,12,6,11,14,8,7,1,2,0,0,2.5,3.25,2.88
1011,5,2018-09-10,Aston Villa,Bolton,1,1,D,1.50,2.50,1.75,2.75,0.67,2.67,2.00,2.33,1,1,D,0.33,0.33,0.33,0.33,0.33,0.00,0.48,0.75,M Dean,13,13,6,7,15,8,8,4,1,2,0,0,1.8,3.6,4.5
1011,5,2018-09-10,Blackburn,Fulham,1,1,D,1.25,1.50,1.50,1.25,1.00,1.67,2.00,1.67,1,0,H,0.33,0.33,0.00,0.00,0.00,0.33,0.42,0.51,A Taylor,9,9,5,4,15,10,3,3,0,1,0,0,2,3.3,4
1011,5,2018-09-10,Everton,Newcastle,0,1,A,1.00,1.50,1.75,1.50,1.33,1.67,2.33,1.00,0,1,A,0.00,0.00,0.67,0.33,0.33,0.67,0.55,0.69,A Marriner,6,9,3,4,15,21,3,6,2,3,0,0,1.62,3.75,6
1011,5,2018-09-10,Stoke,West Ham,1,1,D,1.00,1.75,0.50,3.00,1.00,1.67,0.67,3.00,0,1,A,0.00,0.00,0.67,0.00,0.33,0.67,0.53,0.47,L Mason,9,13,3,6,14,8,6,3,3,2,0,0,1.91,3.4,4.2
1011,5,2018-09-10,Sunderland,Arsenal,1,1,D,1.25,1.25,3.25,0.75,0.67,0.67,4.00,0.67,0,1,A,0.33,0.00,0.00,0.33,0.00,0.00,0.41,0.62,P Dowd,16,16,5,7,11,13,11,3,2,2,0,1,5.5,3.7,1.67
